img,namee
/content/drive/MyDrive/Assignment_AI/augmented_image/5_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/81_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/110_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/34_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/77_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/100_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/131_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/134_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/113_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/150_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/143_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/142_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/194_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/155_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/115_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/178_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/67_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/34_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/32_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/195_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/177_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/196_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/78_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/147_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/85_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/192_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/128_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/108_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/114_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/7_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/39_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/87_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/20_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/42_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/109_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/15_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/104_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/160_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/61_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/166_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/20_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/194_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/101_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/167_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/31_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/195_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/172_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/144_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/99_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/36_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/13_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/87_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/116_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/137_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/0_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/192_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/167_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/89_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/39_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/13_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/130_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/43_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/84_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/114_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/154_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/39_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/88_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/123_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/73_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/54_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/147_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/38_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/141_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/199_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/31_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/148_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/36_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/121_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/103_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/166_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/58_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/52_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/8_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/44_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/77_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/176_Student1.jpg,Student1
